input,k_value,gradient,density_est
231,29941,130,0.986
232,31068,1127,1.020
233,31233,165,1.025
234,31398,165,1.030
235,31564,166,1.035
236,31729,165,1.040
237,31894,165,1.045
238,32059,165,1.050
239,32225,166,1.055
240,32390,165,1.060
241,32555,165,1.065
242,32720,165,1.070
243,32886,166,1.075
244,33051,165,1.080
245,33216,165,1.085
246,33382,166,1.090
247,33547,165,1.095
248,33712,165,1.100
249,33877,165,1.105
250,34043,166,1.110
251,34208,165,1.115
252,34373,165,1.120
253,35034,661,1.140
254,35695,661,1.160
255,36356,661,1.180
