Input,K_v19,K_v18,Diff
0,0,0,0
8,2400,2400,0
16,3372,3372,0
24,4864,4864,0
32,5264,5264,0
40,6197,6197,0
48,7331,7531,-200
56,8631,9031,-400
64,9864,9864,0
72,10864,10864,0
80,11364,11364,0
88,11864,11864,0
96,12489,12489,0
104,13364,13364,0
112,14493,14293,200
120,15007,15007,0
128,15871,15721,150
136,16435,16435,0
144,17086,17086,0
152,17642,17642,0
160,18614,18614,0
168,19364,19664,-300
176,20531,20531,0
184,21364,21364,0
192,22131,22531,-400
200,23364,23364,0
208,23864,23864,0
216,24864,24864,0
224,25499,25499,0
232,26264,26264,0
240,27128,27128,0
248,28304,28304,0
255,29252,29752,-500
