Input,K,GY,Total,K_percent,GY_percent
0,0,0,0,0.00,0.00
1,10,175,185,5.41,94.59
2,20,350,370,5.41,94.59
3,30,525,555,5.41,94.59
4,40,700,740,5.41,94.59
5,50,875,925,5.41,94.59
6,60,1050,1110,5.41,94.59
7,70,1225,1295,5.41,94.59
8,80,1400,1480,5.41,94.59
9,90,1575,1665,5.41,94.59
10,100,1750,1850,5.41,94.59
11,110,1925,2035,5.41,94.59
12,120,2100,2220,5.41,94.59
13,130,2275,2405,5.41,94.59
14,140,2450,2590,5.41,94.59
15,150,2625,2775,5.41,94.59
16,160,2800,2960,5.41,94.59
17,170,2975,3145,5.41,94.59
18,180,3150,3330,5.41,94.59
19,190,3325,3515,5.41,94.59
20,200,3500,3700,5.41,94.59
21,210,3675,3885,5.41,94.59
22,220,3850,4070,5.41,94.59
23,230,4025,4255,5.41,94.59
24,240,4200,4440,5.41,94.59
25,250,4315,4565,5.48,94.52
26,260,4430,4690,5.54,94.46
27,270,4545,4815,5.61,94.39
28,280,4660,4940,5.67,94.33
29,290,4775,5065,5.73,94.27
30,300,4890,5190,5.78,94.22
31,310,5005,5315,5.83,94.17
32,320,5120,5440,5.88,94.12
33,330,5235,5565,5.93,94.07
34,340,5350,5690,5.98,94.02
35,350,5465,5815,6.02,93.98
36,360,5580,5940,6.06,93.94
37,370,5695,6065,6.10,93.90
38,380,5810,6190,6.14,93.86
39,390,5925,6315,6.18,93.82
40,400,6040,6440,6.21,93.79
41,410,6155,6565,6.25,93.75
42,420,6270,6690,6.28,93.72
43,430,6385,6815,6.31,93.69
44,440,6500,6940,6.34,93.66
45,450,6615,7065,6.37,93.63
46,460,6730,7190,6.40,93.60
47,470,6845,7315,6.43,93.57
48,480,6960,7440,6.45,93.55
49,490,7075,7565,6.48,93.52
50,500,7190,7690,6.50,93.50
51,510,7305,7815,6.53,93.47
52,520,7420,7940,6.55,93.45
53,530,7535,8065,6.57,93.43
54,540,7650,8190,6.59,93.41
55,550,7765,8315,6.61,93.39
56,560,7880,8440,6.64,93.36
57,570,7995,8565,6.65,93.35
58,580,8110,8690,6.67,93.33
59,590,8225,8815,6.69,93.31
60,600,8340,8940,6.71,93.29
61,610,8455,9065,6.73,93.27
62,620,8570,9190,6.75,93.25
63,630,8685,9315,6.76,93.24
64,640,8800,9440,6.78,93.22
65,650,8915,9565,6.80,93.20
66,660,9030,9690,6.81,93.19
67,670,9145,9815,6.83,93.17
68,680,9260,9940,6.84,93.16
69,690,9375,10065,6.86,93.14
70,700,9490,10190,6.87,93.13
71,710,9605,10315,6.88,93.12
72,720,9720,10440,6.90,93.10
73,730,9835,10565,6.91,93.09
74,740,9950,10690,6.92,93.08
75,750,10065,10815,6.93,93.07
76,760,10180,10940,6.95,93.05
77,770,10295,11065,6.96,93.04
78,780,10410,11190,6.97,93.03
79,790,10525,11315,6.98,93.02
80,800,10640,11440,6.99,93.01
81,810,10755,11565,7.00,93.00
82,820,10870,11690,7.01,92.99
83,830,10985,11815,7.02,92.98
84,840,11100,11940,7.04,92.96
85,850,11215,12065,7.05,92.95
86,860,11330,12190,7.05,92.95
87,870,11445,12315,7.06,92.94
88,880,11560,12440,7.07,92.93
89,890,11675,12565,7.08,92.92
90,900,11790,12690,7.09,92.91
91,910,11905,12815,7.10,92.90
92,920,12020,12940,7.11,92.89
93,930,12135,13065,7.12,92.88
94,940,12250,13190,7.13,92.87
95,950,12365,13315,7.13,92.87
96,960,12480,13440,7.14,92.86
97,970,12595,13565,7.15,92.85
98,980,12710,13690,7.16,92.84
99,990,12825,13815,7.17,92.83
100,1000,12940,13940,7.17,92.83
101,1010,13055,14065,7.18,92.82
102,1020,13170,14190,7.19,92.81
103,1030,13285,14315,7.20,92.80
104,1040,13400,14440,7.20,92.80
105,1050,13515,14565,7.21,92.79
106,1060,13630,14690,7.22,92.78
107,1070,13745,14815,7.22,92.78
108,1080,13860,14940,7.23,92.77
109,1090,13975,15065,7.24,92.76
110,1100,14090,15190,7.24,92.76
111,1110,14205,15315,7.25,92.75
112,1120,14320,15440,7.25,92.75
113,1130,14435,15565,7.26,92.74
114,1140,14550,15690,7.27,92.73
115,1150,14665,15815,7.27,92.73
116,1160,14780,15940,7.28,92.72
117,1170,14895,16065,7.28,92.72
118,1180,15010,16190,7.29,92.71
119,1190,15125,16315,7.29,92.71
120,1200,15240,16440,7.30,92.70
121,1210,15355,16565,7.30,92.70
122,1220,15470,16690,7.31,92.69
123,1230,15585,16815,7.31,92.69
124,1240,15700,16940,7.32,92.68
125,1250,15815,17065,7.32,92.68
126,1260,15930,17190,7.33,92.67
127,1270,16045,17315,7.33,92.67
128,1280,16160,17440,7.34,92.66
129,1290,16275,17565,7.34,92.66
130,1300,16390,17690,7.35,92.65
131,1310,16505,17815,7.35,92.65
132,1320,16620,17940,7.36,92.64
133,1330,16735,18065,7.36,92.64
134,1340,16850,18190,7.37,92.63
135,1350,16965,18315,7.37,92.63
136,1360,17080,18440,7.38,92.62
137,1370,17195,18565,7.38,92.62
138,1380,17310,18690,7.38,92.62
139,1390,17425,18815,7.39,92.61
140,1400,17540,18940,7.39,92.61
141,1410,17655,19065,7.40,92.60
142,1420,17770,19190,7.40,92.60
143,1430,17885,19315,7.40,92.60
144,1440,18000,19440,7.41,92.59
145,1450,18115,19565,7.41,92.59
146,1460,18230,19690,7.41,92.59
147,1470,18345,19815,7.42,92.58
148,1480,18460,19940,7.42,92.58
149,1490,18575,20065,7.43,92.57
150,1500,18690,20190,7.43,92.57
151,1510,18805,20315,7.43,92.57
152,1520,18920,20440,7.44,92.56
153,1530,19035,20565,7.44,92.56
154,1540,19150,20690,7.44,92.56
155,1550,19265,20815,7.45,92.55
156,1560,19380,20940,7.45,92.55
157,1570,19495,21065,7.45,92.55
158,1580,19610,21190,7.46,92.54
159,1590,19725,21315,7.46,92.54
160,1600,19840,21440,7.46,92.54
161,1610,19955,21565,7.47,92.53
162,1620,20070,21690,7.47,92.53
163,1630,20185,21815,7.47,92.53
164,1640,20300,21940,7.47,92.53
165,1650,20415,22065,7.48,92.52
166,1660,20530,22190,7.48,92.52
167,1670,20645,22315,7.48,92.52
168,1680,20760,22440,7.49,92.51
169,1690,20875,22565,7.49,92.51
170,1700,20990,22690,7.49,92.51
171,1710,21105,22815,7.50,92.50
172,1720,21220,22940,7.50,92.50
173,1730,21335,23065,7.50,92.50
174,1740,21450,23190,7.50,92.50
175,1750,21565,23315,7.51,92.49
176,1760,21680,23440,7.51,92.49
177,1770,21795,23565,7.51,92.49
178,1780,21910,23690,7.51,92.49
179,1790,22025,23815,7.52,92.48
180,1800,22140,23940,7.52,92.48
181,1810,22255,24065,7.52,92.48
182,1820,22370,24190,7.52,92.48
183,1830,22485,24315,7.53,92.47
184,1840,22600,24440,7.53,92.47
185,1850,22715,24565,7.53,92.47
186,1860,22830,24690,7.53,92.47
187,1870,22945,24815,7.54,92.46
188,1880,23060,24940,7.54,92.46
189,1890,23175,25065,7.54,92.46
190,1900,23290,25190,7.54,92.46
191,1910,23405,25315,7.54,92.46
192,1920,23520,25440,7.55,92.45
193,1930,23635,25565,7.55,92.45
194,1940,23750,25690,7.55,92.45
195,1950,23865,25815,7.55,92.45
196,1960,23980,25940,7.56,92.44
197,1970,24095,26065,7.56,92.44
198,1980,24210,26190,7.56,92.44
199,1990,24325,26315,7.56,92.44
200,2000,24440,26440,7.56,92.44
201,2010,24555,26565,7.57,92.43
202,2020,24670,26690,7.57,92.43
203,2030,24785,26815,7.57,92.43
204,2040,24900,26940,7.57,92.43
205,2050,25015,27065,7.57,92.43
206,2060,25130,27190,7.58,92.42
207,2070,25245,27315,7.58,92.42
208,2080,25360,27440,7.58,92.42
209,2090,25475,27565,7.58,92.42
210,2100,25590,27690,7.58,92.42
211,2110,25705,27815,7.59,92.41
212,2120,25820,27940,7.59,92.41
213,2130,25935,28065,7.59,92.41
214,2140,26050,28190,7.59,92.41
215,2150,26165,28315,7.59,92.41
216,2160,26280,28440,7.59,92.41
217,2170,26395,28565,7.60,92.40
218,2180,26510,28690,7.60,92.40
219,2190,26625,28815,7.60,92.40
220,2200,26740,28940,7.60,92.40
221,2210,26855,29065,7.60,92.40
222,2220,26970,29190,7.61,92.39
223,2230,27085,29315,7.61,92.39
224,2240,27200,29440,7.61,92.39
225,2250,27315,29565,7.61,92.39
226,2260,27430,29690,7.61,92.39
227,2270,27545,29815,7.61,92.39
228,2280,27660,29940,7.62,92.38
229,2290,27775,30065,7.62,92.38
230,2300,27890,30190,7.62,92.38
231,2310,28005,30315,7.62,92.38
232,2320,28120,30440,7.62,92.38
233,2330,28235,30565,7.62,92.38
234,2340,28350,30690,7.62,92.38
235,2350,28465,30815,7.63,92.37
236,2360,28580,30940,7.63,92.37
237,2370,28695,31065,7.63,92.37
238,2380,28810,31190,7.63,92.37
239,2390,28925,31315,7.63,92.37
240,2400,29040,31440,7.63,92.37
241,2410,29340,31750,7.59,92.41
242,2420,29640,32060,7.55,92.45
243,2430,29940,32370,7.51,92.49
244,2440,30240,32680,7.47,92.53
245,2450,30540,32990,7.43,92.57
246,2460,30840,33300,7.39,92.61
247,2470,31140,33610,7.35,92.65
248,2480,31440,33920,7.31,92.69
249,2490,31740,34230,7.27,92.73
250,2500,32040,34540,7.24,92.76
251,2510,32340,34850,7.20,92.80
252,2520,32640,35160,7.17,92.83
253,2530,32940,35470,7.13,92.87
254,2540,33240,35780,7.10,92.90
255,40000,0,40000,100.00,0.00
