input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,758,,,,0.11
16,1515,,,,0.14
24,2273,,,,0.16
32,3031,,,,0.18
40,3788,,,,0.21
48,4546,,,,0.24
56,5303,,,,0.26
64,6061,,,,0.28
72,6818,,,,0.31
80,7576,,,,0.33
88,8334,,,,0.37
96,9091,,,,0.4
104,9849,,,,0.43
112,10606,,,,0.45
120,11364,,,,0.48
128,12122,,,,0.52
136,12879,,,,0.55
144,13637,,,,0.59
152,14394,,,,0.62
160,15153,,,,0.65
168,15909,,,,0.69
176,16667,,,,0.73
184,17424,,,,0.78
192,18184,,,,0.81
200,18939,,,,0.85
208,19697,,,,0.89
216,20455,,,,0.94
224,21212,,,,0.99
232,21970,,,,1.05
240,22727,,,,1.08
248,23485,,,,1.14
255,24150,,,,1.2
