input,negative_density,print_density,Unnamed: 3,print_delta_D
0,0.08,2.21,,0.00
8,0.08,2.19,,0.02
16,0.14,2.09,,0.12
24,0.17,2.08,,0.13
32,0.19,2.11,,0.10
40,0.20,2.08,,0.13
48,0.24,2.07,,0.14
56,0.28,2.01,,0.20
64,0.31,1.93,,0.28
72,0.34,1.88,,0.33
80,0.38,1.82,,0.39
88,0.40,1.77,,0.44
96,0.45,1.75,,0.46
104,0.50,1.68,,0.53
112,0.55,1.56,,0.65
120,0.60,1.50,,0.71
128,0.65,1.41,,0.80
136,0.68,1.39,,0.82
144,0.73,1.36,,0.85
152,0.78,1.34,,0.87
160,0.81,1.25,,0.96
168,0.85,1.24,,0.97
176,0.88,1.21,,1.00
184,0.90,1.20,,1.01
192,0.97,1.16,,1.05
200,1.02,1.15,,1.06
208,1.07,1.10,,1.11
216,1.09,1.10,｀,1.11
224,1.13,1.08,,1.13
232,1.14,1.08,,1.13
240,1.20,1.09,,1.12
248,1.23,1.09,,1.12
255,1.27,1.09,,1.12
