Input,K,GY,LGY,GY_percent,LGY_percent
0,0,0,0,0.00,0.00
1,517,36,36,6.96,6.96
2,965,68,68,7.05,7.05
3,1352,95,95,7.03,7.03
4,1681,118,118,7.02,7.02
5,1957,137,137,7.00,7.00
6,2185,153,153,7.00,7.00
7,2371,166,166,7.00,7.00
8,2520,176,176,6.98,6.98
9,2636,185,185,7.02,7.02
10,2725,191,191,7.01,7.01
11,2791,195,195,6.99,6.99
12,2839,199,199,7.01,7.01
13,2876,201,201,6.99,6.99
14,2905,203,203,6.99,6.99
15,2931,205,205,6.99,6.99
16,2960,207,207,6.99,6.99
17,2996,210,210,7.01,7.01
18,3038,213,213,7.01,7.01
19,3087,216,216,7.00,7.00
20,3142,220,220,7.00,7.00
21,3201,224,224,7.00,7.00
22,3264,228,228,6.99,6.99
23,3331,233,233,6.99,6.99
24,3400,238,238,7.00,7.00
25,3472,243,243,7.00,7.00
26,3545,248,248,7.00,7.00
27,3622,254,254,7.01,7.01
28,3702,259,259,7.00,7.00
29,3785,265,265,7.00,7.00
30,3872,271,271,7.00,7.00
31,3964,277,277,6.99,6.99
32,4060,284,284,7.00,7.00
33,4161,291,291,6.99,6.99
34,4266,299,299,7.01,7.01
35,4375,306,306,6.99,6.99
36,4486,314,314,7.00,7.00
37,4599,322,322,7.00,7.00
38,4713,330,330,7.00,7.00
39,4827,338,338,7.00,7.00
40,4940,346,346,7.00,7.00
41,5052,354,354,7.01,7.01
42,5163,361,361,6.99,6.99
43,5273,369,369,7.00,7.00
44,5383,377,377,7.00,7.00
45,5492,384,384,6.99,6.99
46,5601,392,392,7.00,7.00
47,5710,400,400,7.01,7.01
48,5820,407,407,6.99,6.99
49,5931,415,415,7.00,7.00
50,6041,423,423,7.00,7.00
51,6153,431,431,7.00,7.00
52,6264,438,438,6.99,6.99
53,6374,446,446,7.00,7.00
54,6484,454,454,7.00,7.00
55,6593,462,462,7.01,7.01
56,6700,469,469,7.00,7.00
57,6806,476,476,6.99,6.99
58,6911,484,484,7.00,7.00
59,7016,491,491,7.00,7.00
60,7123,499,499,7.01,7.01
61,7232,506,506,7.00,7.00
62,7343,514,514,7.00,7.00
63,7459,522,522,7.00,7.00
64,7580,531,531,7.01,7.01
65,7707,539,539,6.99,6.99
66,7838,549,549,7.00,7.00
67,7974,558,558,7.00,7.00
68,8112,568,568,7.00,7.00
69,8253,578,578,7.00,7.00
70,8396,588,588,7.00,7.00
71,8538,598,598,7.00,7.00
72,8680,608,608,7.00,7.00
73,8820,617,617,7.00,7.00
74,8960,627,627,7.00,7.00
75,9098,637,637,7.00,7.00
76,9235,646,646,7.00,7.00
77,9371,656,656,7.00,7.00
78,9508,666,666,7.00,7.00
79,9644,675,675,7.00,7.00
80,9780,685,685,7.00,7.00
81,9917,694,694,7.00,7.00
82,10054,704,704,7.00,7.00
83,10191,713,713,7.00,7.00
84,10329,723,723,7.00,7.00
85,10466,733,733,7.00,7.00
86,10604,742,742,7.00,7.00
87,10742,752,752,7.00,7.00
88,10880,762,762,7.00,7.00
89,11018,771,771,7.00,7.00
90,11155,781,781,7.00,7.00
91,11293,791,791,7.00,7.00
92,11430,800,800,7.00,7.00
93,11568,810,810,7.00,7.00
94,11705,819,819,7.00,7.00
95,11843,829,829,7.00,7.00
96,11980,839,839,7.00,7.00
97,12117,848,848,7.00,7.00
98,12255,858,858,7.00,7.00
99,12392,867,867,7.00,7.00
100,12530,877,877,7.00,7.00
101,12667,887,887,7.00,7.00
102,12805,896,896,7.00,7.00
103,12942,906,906,7.00,7.00
104,13080,916,916,7.00,7.00
105,13218,925,925,7.00,7.00
106,13355,935,935,7.00,7.00
107,13493,945,945,7.00,7.00
108,13630,954,954,7.00,7.00
109,13768,964,964,7.00,7.00
110,13905,973,973,7.00,7.00
111,14043,983,983,7.00,7.00
112,14180,993,993,7.00,7.00
113,14317,1002,1002,7.00,7.00
114,14455,1012,1012,7.00,7.00
115,14592,1021,1021,7.00,7.00
116,14730,1031,1031,7.00,7.00
117,14867,1041,1041,7.00,7.00
118,15005,1050,1050,7.00,7.00
119,15142,1060,1060,7.00,7.00
120,15280,1070,1070,7.00,7.00
121,15418,1079,1079,7.00,7.00
122,15555,1089,1089,7.00,7.00
123,15693,1099,1099,7.00,7.00
124,15830,1108,1108,7.00,7.00
125,15968,1118,1118,7.00,7.00
126,16105,1127,1127,7.00,7.00
127,16243,1137,1137,7.00,7.00
128,16380,1147,1147,7.00,7.00
129,16517,1156,1156,7.00,7.00
130,16655,1166,1166,7.00,7.00
131,16792,1175,1175,7.00,7.00
132,16930,1185,1185,7.00,7.00
133,17067,1195,1195,7.00,7.00
134,17205,1204,1204,7.00,7.00
135,17343,1214,1214,7.00,7.00
136,17480,1224,1224,7.00,7.00
137,17617,1233,1233,7.00,7.00
138,17755,1243,1243,7.00,7.00
139,17892,1252,1252,7.00,7.00
140,18030,1262,1262,7.00,7.00
141,18167,1272,1272,7.00,7.00
142,18305,1281,1281,7.00,7.00
143,18442,1291,1291,7.00,7.00
144,18580,1301,1301,7.00,7.00
145,18718,1310,1310,7.00,7.00
146,18855,1320,1320,7.00,7.00
147,18993,1330,1330,7.00,7.00
148,19130,1339,1339,7.00,7.00
149,19268,1349,1349,7.00,7.00
150,19405,1358,1358,7.00,7.00
151,19543,1368,1368,7.00,7.00
152,19680,1378,1378,7.00,7.00
153,19817,1387,1387,7.00,7.00
154,19955,1397,1397,7.00,7.00
155,20092,1406,1406,7.00,7.00
156,20230,1416,1416,7.00,7.00
157,20367,1426,1426,7.00,7.00
158,20505,1435,1435,7.00,7.00
159,20642,1445,1445,7.00,7.00
160,20780,1455,1455,7.00,7.00
161,20918,1464,1464,7.00,7.00
162,21055,1474,1474,7.00,7.00
163,21193,1484,1484,7.00,7.00
164,21330,1493,1493,7.00,7.00
165,21468,1503,1503,7.00,7.00
166,21605,1512,1512,7.00,7.00
167,21743,1522,1522,7.00,7.00
168,21880,1532,1532,7.00,7.00
169,22017,1541,1541,7.00,7.00
170,22155,1551,1551,7.00,7.00
171,22292,1560,1560,7.00,7.00
172,22430,1570,1570,7.00,7.00
173,22567,1580,1580,7.00,7.00
174,22705,1589,1589,7.00,7.00
175,22842,1599,1599,7.00,7.00
176,22980,1609,1609,7.00,7.00
177,23118,1618,1618,7.00,7.00
178,23255,1628,1628,7.00,7.00
179,23393,1638,1638,7.00,7.00
180,23531,1647,1647,7.00,7.00
181,23668,1657,1657,7.00,7.00
182,23806,1666,1666,7.00,7.00
183,23943,1676,1676,7.00,7.00
184,24080,1686,1686,7.00,7.00
185,24217,1695,1695,7.00,7.00
186,24353,1705,1705,7.00,7.00
187,24490,1714,1714,7.00,7.00
188,24627,1724,1724,7.00,7.00
189,24764,1733,1733,7.00,7.00
190,24902,1743,1743,7.00,7.00
191,25040,1753,1753,7.00,7.00
192,25180,1763,1763,7.00,7.00
193,25321,1772,1772,7.00,7.00
194,25462,1782,1782,7.00,7.00
195,25603,1792,1792,7.00,7.00
196,25743,1802,1802,7.00,7.00
197,25881,1812,1812,7.00,7.00
198,26017,1821,1821,7.00,7.00
199,26151,1831,1831,7.00,7.00
200,26280,1840,1840,7.00,7.00
201,26405,1848,1848,7.00,7.00
202,26526,1857,1857,7.00,7.00
203,26642,1865,1865,7.00,7.00
204,26755,1873,1873,7.00,7.00
205,26862,1880,1880,7.00,7.00
206,26966,1888,1888,7.00,7.00
207,27065,1895,1895,7.00,7.00
208,27160,1901,1901,7.00,7.00
209,27251,1908,1908,7.00,7.00
210,27338,1914,1914,7.00,7.00
211,27422,1920,1920,7.00,7.00
212,27504,1925,1925,7.00,7.00
213,27584,1931,1931,7.00,7.00
214,27663,1936,1936,7.00,7.00
215,27741,1942,1942,7.00,7.00
216,27820,1947,1947,7.00,7.00
217,27899,1953,1953,7.00,7.00
218,27979,1959,1959,7.00,7.00
219,28060,1964,1964,7.00,7.00
220,28142,1970,1970,7.00,7.00
221,28225,1976,1976,7.00,7.00
222,28309,1982,1982,7.00,7.00
223,28394,1988,1988,7.00,7.00
224,28480,1994,1994,7.00,7.00
225,28567,2000,2000,7.00,7.00
226,28655,2006,2006,7.00,7.00
227,28741,2012,2012,7.00,7.00
228,28827,2018,2018,7.00,7.00
229,28911,2024,2024,7.00,7.00
230,28991,2029,2029,7.00,7.00
231,29068,2035,2035,7.00,7.00
232,29140,2040,2040,7.00,7.00
233,29207,2044,2044,7.00,7.00
234,29269,2049,2049,7.00,7.00
235,29327,2053,2053,7.00,7.00
236,29382,2057,2057,7.00,7.00
237,29434,2060,2060,7.00,7.00
238,29484,2064,2064,7.00,7.00
239,29532,2067,2067,7.00,7.00
240,29580,2071,2071,7.00,7.00
241,29628,2074,2074,7.00,7.00
242,29676,2077,2077,7.00,7.00
243,29726,2081,2081,7.00,7.00
244,29778,2084,2084,7.00,7.00
245,29833,2088,2088,7.00,7.00
246,29891,2092,2092,7.00,7.00
247,29953,2097,2097,7.00,7.00
248,30020,2101,2101,7.00,7.00
249,30517,2136,2136,7.00,7.00
250,31014,2171,2171,7.00,7.00
251,31511,2206,2206,7.00,7.00
252,32009,2241,2241,7.00,7.00
253,32506,2275,2275,7.00,7.00
254,33003,2310,2310,7.00,7.00
255,40000,2800,2800,7.00,7.00
