Input,Target_Density,V18_K,K,K_diff,Density_6m45s,Density_diff
0,1.38,0,0,0,1.38,0.0
8,1.36,2400,960,1440,1.38,-0.019999999999999796
16,1.34,3372,1920,1452,1.37,-0.030000000000000027
24,1.32,4864,2880,1984,1.35,-0.030000000000000027
32,1.3,5264,3864,1400,1.33,-0.030000000000000027
40,1.26,6197,4864,1333,1.32,-0.06000000000000005
48,1.22,7531,5864,1667,1.27,-0.050000000000000044
56,1.17,9031,6864,2167,1.24,-0.07000000000000006
64,1.12,9864,7864,2000,1.21,-0.08999999999999986
72,1.07,10864,8864,2000,1.18,-0.10999999999999988
80,1.02,11364,9864,1500,1.12,-0.10000000000000009
88,0.97,11864,10864,1000,1.07,-0.10000000000000009
96,0.92,12489,11864,625,0.97,-0.04999999999999993
104,0.87,13364,12864,500,0.89,-0.020000000000000018
112,0.82,14293,13864,429,0.85,-0.030000000000000027
120,0.77,15007,14864,143,0.78,-0.010000000000000009
128,0.72,15721,15864,-143,0.71,0.010000000000000009
136,0.67,16435,16864,-429,0.64,0.030000000000000027
144,0.62,17086,17864,-778,0.55,0.06999999999999995
152,0.57,17642,18864,-1222,0.51,0.05999999999999994
160,0.52,18614,19864,-1250,0.46,0.06
168,0.47,19664,20864,-1200,0.4,0.06999999999999995
176,0.42,20531,21864,-1333,0.34,0.07999999999999996
184,0.37,21364,22864,-1500,0.31,0.06
192,0.32,22531,23864,-1333,0.25,0.07
200,0.28,23364,24864,-1500,0.23,0.05000000000000002
208,0.25,23864,25816,-1952,0.2,0.04999999999999999
216,0.23,24864,26712,-1848,0.18,0.05000000000000002
224,0.21,25499,27544,-2045,0.16,0.04999999999999999
232,0.19,26264,28304,-2040,0.15,0.04000000000000001
240,0.17,27128,29064,-1936,0.14,0.03
248,0.15,28304,29752,-1448,0.13,0.01999999999999999
255,0.13,29752,30440,-688,0.13,0.0
