Input,V23_K,V22_K,V21_K,Diff_v22,Diff_v21
0,0,0,0,0,0
8,2960,2520,2520,440,440
16,3400,2960,2960,440,440
24,3840,3400,3400,440,440
32,4280,4060,4060,220,220
40,4940,4940,4500,0,440
48,5820,5820,5160,0,660
56,6700,6700,6040,0,660
64,7580,7580,7140,0,440
72,8680,8680,8240,0,440
80,9780,9780,9340,0,440
88,10880,10880,10440,0,440
96,11980,11980,11540,0,440
104,13080,13080,12640,0,440
112,14180,14180,13740,0,440
120,15280,15280,14840,0,440
128,16380,16380,15940,0,440
136,17480,17480,17040,0,440
144,18580,18580,18140,0,440
152,19680,19680,19240,0,440
160,20780,20780,20340,0,440
168,21880,21880,21440,0,440
176,22980,22980,22540,0,440
184,24080,24080,23640,0,440
192,24960,25180,24740,-220,220
200,25840,26280,25840,-440,0
208,26720,27160,26940,-440,-220
216,27380,27820,27820,-440,-440
224,28040,28480,28480,-440,-440
232,28700,29140,29140,-440,-440
240,29140,29580,29800,-440,-660
248,29580,30020,30460,-440,-880
255,30020,30680,31120,-660,-1100
